surname,weight
Lambert,0.00203243
Miranda,0.00202582
Byrd,0.00201925
Craig,0.00201272
Ayala,0.00200624
Lowe,0.00199979
Frazier,0.00199339
Powers,0.00198702
Neal,0.00198069
Leonard,0.00197440
Gregory,0.00196815
Carrillo,0.00196194
Sutton,0.00195577
Fleming,0.00194963
Rhodes,0.00194353
Shelton,0.00193747
Schwartz,0.00193145
Norris,0.00192546
Jennings,0.00191950
Watts,0.00191358
Duran,0.00190770
Walters,0.00190185
Cohen,0.00189604
Mcdaniel,0.00189026
Moran,0.00188451
Parks,0.00187880
Steele,0.00187312
Vaughn,0.00186748
Becker,0.00186187
Holt,0.00185629
Deleon,0.00185074
Barker,0.00184522
Terry,0.00183974
Hale,0.00183429
Leon,0.00182887
Hail,0.00182348
Benson,0.00181812
Haynes,0.00181279
Horton,0.00180749
Miles,0.00180222
Lyons,0.00179698
Pham,0.00179177
Graves,0.00178659
Bush,0.00178143
Thornton,0.00177631
Wolfe,0.00177122
Warner,0.00176615
Cabrera,0.00176111
Mckinney,0.00175610
Mann,0.00175112
Zimmerman,0.00174616
Dawson,0.00174123
Lara,0.00173633
Fletcher,0.00173145
Page,0.00172660
Mccarthy,0.00172178
Love,0.00171698
Robles,0.00171221
Cervantes,0.00170746
Solis,0.00170274
Erickson,0.00169805
Reeves,0.00169338
Chang,0.00168873
Klein,0.00168411
Salinas,0.00167952
Fuentes,0.00167494
Baldwin,0.00167039
Daniel,0.00166587
Simon,0.00166137
Velasquez,0.00165689
Hardy,0.00165244
Higgins,0.00164801
Aguirre,0.00164360
Lin,0.00163921
Cummings,0.00163485
Chandler,0.00163051
Sharp,0.00162619
Barber,0.00162190
Bowen,0.00161762
Ochoa,0.00161337
Dennis,0.00160914
Robbins,0.00160493
Liu,0.00160074
Ramsey,0.00159657
Francis,0.00159243
Griffith,0.00158830
Paul,0.00158420
Blair,0.00158011
Oconnor,0.00157605
Cardenas,0.00157201
Pacheco,0.00156798
Cross,0.00156398
Calderon,0.00156000
Quinn,0.00155603
Moss,0.00155209
Swanson,0.00154816
Chan,0.00154425
Rivas,0.00154037
Khan,0.00153650
Rodgers,0.00153265
Serrano,0.00152882
Fitzgerald,0.00152500
Rosales,0.00152121
Stevenson,0.00151743
Christensen,0.00151367
Manning,0.00150993
Gill,0.00150621
Curry,0.00150251
Mclaughlin,0.00149882
Harmon,0.00149515
Mcgee,0.00149150
Gross,0.00148786
Dobbs,0.00148425
Zamora,0.00148064
Dillon,0.00147706
Kaur,0.00147349
Mcguire,0.00146994
Bradford,0.00146641
Grimes,0.00146289
Novak,0.00145939
Prescott,0.00145590
Ashford,0.00145243
Winslow,0.00144898
Thorne,0.00144554
Ellison,0.00144212
Kirkland,0.00143872
Marsden,0.00143532
Ackerman,0.00143195
Vandyke,0.00142859
Oyelaran,0.00142525
Nakamura,0.00142192
Petrov,0.00141860
Almeida,0.00141530
